0:Met[Zsun],1:Age[Gyr],2:Rp[Rsun],3:Vinf[km/s],4:Mass1_i[MSUN],5:Mass2_i[Msun],6:R1[Rsun],7:R2[Rsun],8:Label,9:Mass1_f[MSUN],10:Mass2_f[MSUN],11:Sigma
0.010,0.000020174,0.00000, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,120.685400,1
0.010,0.000020174,0.00000,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,122.081900,1
0.010,0.000020174,0.00000,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,122.076500,  0.000000,1
0.010,0.000020174,0.00000,16000,64.000000,64.000000, 7.6629500, 7.6629500, 0,  0.000000,  0.000000,1
0.010,0.000020174,0.00000, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,115.045000,1
0.010,0.000020174,0.00000,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,122.032700,1
0.010,0.000020174,0.00000, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 1, 20.558620,  0.000000,1
0.010,0.000020174,0.00000,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,121.746800,1
0.010,0.000020174,0.00000, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 0,  0.000000,  0.000000,1
0.010,0.000020174,10.25030, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.964990, 63.944180,1
0.010,0.000020174,10.25030,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,125.135500,1
0.010,0.000020174,10.25030,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,125.364100,1
0.010,0.000020174,10.25030,16000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.778360, 63.776530,1
0.010,0.000020174,10.25030, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.943750, 63.931970,1
0.010,0.000020174,10.25030,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,125.273700,1
0.010,0.000020174,10.25030, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.952380, 63.951160,1
0.010,0.000020174,10.25030,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,123.783100,  0.000000,1
0.010,0.000020174,10.25030, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.897180, 63.895570,1
0.010,0.000020174,11.34350, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.975940, 63.986870,1
0.010,0.000020174,11.34350,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,125.186500,  0.000000,1
0.010,0.000020174,11.34350,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,125.237000,1
0.010,0.000020174,11.34350,16000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.968120, 63.961220,1
0.010,0.000020174,11.34350, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.979570, 63.979550,1
0.010,0.000020174,11.34350,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.675600,  0.000000,1
0.010,0.000020174,11.34350, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.993640, 63.991700,1
0.010,0.000020174,11.34350,  500,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,124.166600,1
0.010,0.000020174,11.34350, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.982570, 63.986090,1
0.010,0.000020174,15.32590, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 64.000000, 64.000000,1
0.010,0.000020174,15.32590,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,124.160000,  0.000000,2
0.010,0.000020174,15.32590,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,123.811100,  0.000000,1
0.010,0.000020174,15.32590,16000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 64.000000, 64.000000,1
0.010,0.000020174,15.32590, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 64.000000, 64.000000,1
0.010,0.000020174,15.32590,  250,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.999850, 64.000150,1
0.010,0.000020174,15.32590, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 64.000000, 64.000000,1
0.010,0.000020174,15.32590,  500,64.000000,64.000000, 7.6629500, 7.6629500, 2, 63.999130, 64.000870,1
0.010,0.000020174,15.32590, 8000,64.000000,64.000000, 7.6629500, 7.6629500, 2, 64.000000, 64.000000,1
0.010,0.000020174,2.66794, 1000,64.000000,64.000000, 7.6629500, 7.6629500, 1,122.086000,  0.000000,1
0.010,0.000020174,2.66794,  100,64.000000,64.000000, 7.6629500, 7.6629500, 1,123.905900,  0.000000,1
0.010,0.000020174,2.66794,   10,64.000000,64.000000, 7.6629500, 7.6629500, 1,123.919800,  0.000000,1
0.010,0.000020174,2.66794,16000,64.000000,64.000000, 7.6629500, 7.6629500, 0,  0.000000,  0.000000,1
0.010,0.000020174,2.66794, 2000,64.000000,64.000000, 7.6629500, 7.6629500, 1,  0.000000,111.890800,1
0.010,0.000020174,2.66794,  250,64.000000,64.000000, 7.6629500, 7.6629500, 1,123.771400,  0.000000,1
0.010,0.000020174,2.66794, 4000,64.000000,64.000000, 7.6629500, 7.6629500, 2,  2.495362,  2.526375,1
